"year","ubigeo","caseid","conglome","estrato","codperso","facpob07","sex","age","civil_status","poverty","linpe","linea","caseid2","visit_preg","p4041","p4042","p4043","p4044","p4045","p4046","p4047","p4191","p4192","p4193","p4194","p4195","p4196","p4197","p4198","factor07","language","education_level","who_assisted_you","health_insurance"
"2015","021801","01  000145  005  11  021801","000145","urban","01",551.45,"woman",62,"no married/living_together","no poor",156.370590209961,311.292358398438,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,551.45,"spanish","less than secondary",NA,NA
"2015","020703","01  000239  003  11  020703","000239","rural","01",250.78,"man",65,"no married/living_together","poor",145.335739135742,233.816345214844,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,250.78,NA,"less than secondary",NA,"yes"
"2015","022001","01  000251  007  11  022001","000251","rural","01",229.88,"man",66,"married/living_together","no poor",145.335739135742,233.816345214844,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,229.88,NA,"less than secondary",NA,NA
"2015","030101","01  000259  002  11  030101","000259","urban","01",276.98,"man",67,"married/living_together","no poor",153.936996459961,276.142272949219,"01  02","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,276.98,"spanish",NA,NA,"yes"
"2015","030213","01  000280  031  11  030213","000280","urban","01",300.94,"man",43,NA,"no poor",153.936996459961,276.142272949219,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,300.94,NA,"less than secondary",NA,"yes"
"2015","050501","01  000582  002  11  050501","000582","rural","01",179.43,"man",64,"no married/living_together","poor",145.335739135742,234.3857421875,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,179.43,NA,"less than secondary",NA,NA
"2015","081103","01  000842  017  11  081103","000842","rural","01",333.19,"man",40,NA,"poor",145.335739135742,236.579223632812,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,333.19,NA,"less than secondary",NA,"yes"
"2015","100101","01  000997  011  11  100101","000997","urban","01",320.35,"woman",64,"no married/living_together","no poor",153.936996459961,280.753784179688,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,320.35,"spanish",NA,NA,"yes"
"2015","110109","01  001218  007  11  110109","001218","rural","01",479.82,"man",41,"no married/living_together","no poor",156.370590209961,322.045776367188,"01  01","no",1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,479.82,"spanish","less than secondary","doctor/nurse/obstetrician",NA
"2015","110505","01  001223  001  11  110505","001223","rural","01",46.73,"man",42,NA,"no poor",138.997756958008,258.584411621094,"01  01","no",1,0,0,0,0,0,0,2,2,2,2,1,2,2,2,46.73,"spanish","less than secondary","doctor/nurse/obstetrician","yes"
