"distrito","departamento","provincia","rango_edad","test_number","tamizaje_reactivo","year"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",4,0,"2011"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",12,0,"2011"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",4,0,"2011"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",10,0,"2012"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",50,0,"2012"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",15,0,"2012"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",50,0,"2013"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",134,2,"2013"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",52,1,"2013"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",42,0,"2014"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",121,2,"2014"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",59,2,"2014"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",63,1,"2015"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",188,2,"2015"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",97,0,"2015"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",57,0,"2016"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",181,3,"2016"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",111,1,"2016"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",34,0,"2017"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",180,0,"2017"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",117,0,"2017"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",59,0,"2018"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",201,0,"2018"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",119,0,"2018"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",5,0,"2019"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",4,0,"2019"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",3,0,"2020"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",13,0,"2020"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",9,0,"2020"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",1,0,"2021"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",8,0,"2021"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",3,0,"2021"
"ARAMANGO","AMAZONAS","BAGUA","12-17 años",18,0,"2022"
"ARAMANGO","AMAZONAS","BAGUA","18-29 años",87,1,"2022"
"ARAMANGO","AMAZONAS","BAGUA","30-59 años",38,0,"2022"
"BAGUA","AMAZONAS","BAGUA","12-17 años",24,0,"2011"
"BAGUA","AMAZONAS","BAGUA","18-29 años",73,0,"2011"
"BAGUA","AMAZONAS","BAGUA","30-59 años",28,1,"2011"
"BAGUA","AMAZONAS","BAGUA","12-17 años",4,0,"2012"
"BAGUA","AMAZONAS","BAGUA","18-29 años",3,0,"2012"
"BAGUA","AMAZONAS","BAGUA","30-59 años",2,0,"2012"
"BAGUA","AMAZONAS","BAGUA","12-17 años",47,1,"2013"
"BAGUA","AMAZONAS","BAGUA","18-29 años",251,5,"2013"
"BAGUA","AMAZONAS","BAGUA","30-59 años",109,0,"2013"
"BAGUA","AMAZONAS","BAGUA","<12 años",1,0,"2013"
"BAGUA","AMAZONAS","BAGUA","12-17 años",62,2,"2014"
"BAGUA","AMAZONAS","BAGUA","18-29 años",314,3,"2014"
"BAGUA","AMAZONAS","BAGUA","30-59 años",121,0,"2014"
"BAGUA","AMAZONAS","BAGUA","12-17 años",70,1,"2015"
"BAGUA","AMAZONAS","BAGUA","18-29 años",284,2,"2015"
"BAGUA","AMAZONAS","BAGUA","30-59 años",114,3,"2015"
"BAGUA","AMAZONAS","BAGUA","<12 años",1,0,"2015"
"BAGUA","AMAZONAS","BAGUA","12-17 años",68,0,"2016"
"BAGUA","AMAZONAS","BAGUA","18-29 años",332,2,"2016"
"BAGUA","AMAZONAS","BAGUA","30-59 años",182,0,"2016"
"BAGUA","AMAZONAS","BAGUA","<12 años",1,0,"2016"
"BAGUA","AMAZONAS","BAGUA","12-17 años",57,0,"2017"
"BAGUA","AMAZONAS","BAGUA","18-29 años",389,6,"2017"
"BAGUA","AMAZONAS","BAGUA","30-59 años",136,0,"2017"
"BAGUA","AMAZONAS","BAGUA","12-17 años",75,0,"2018"
"BAGUA","AMAZONAS","BAGUA","18-29 años",406,2,"2018"
"BAGUA","AMAZONAS","BAGUA","30-59 años",198,1,"2018"
"BAGUA","AMAZONAS","BAGUA","12-17 años",0,0,"2019"
"BAGUA","AMAZONAS","BAGUA","18-29 años",5,0,"2019"
"BAGUA","AMAZONAS","BAGUA","30-59 años",6,0,"2019"
"BAGUA","AMAZONAS","BAGUA","12-17 años",0,0,"2020"
"BAGUA","AMAZONAS","BAGUA","18-29 años",0,0,"2020"
"BAGUA","AMAZONAS","BAGUA","30-59 años",0,0,"2020"
"BAGUA","AMAZONAS","BAGUA","12-17 años",0,0,"2021"
"BAGUA","AMAZONAS","BAGUA","18-29 años",1,0,"2021"
"BAGUA","AMAZONAS","BAGUA","30-59 años",0,0,"2021"
"BAGUA","AMAZONAS","BAGUA","12-17 años",20,0,"2022"
"BAGUA","AMAZONAS","BAGUA","18-29 años",151,1,"2022"
"BAGUA","AMAZONAS","BAGUA","30-59 años",74,1,"2022"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",0,0,"2011"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",1,0,"2011"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",0,0,"2011"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",2,0,"2012"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",6,0,"2012"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",2,0,"2012"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",2,0,"2013"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",12,0,"2013"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",19,0,"2013"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",4,0,"2014"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",7,0,"2014"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",1,0,"2014"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",3,0,"2015"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",29,0,"2015"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",10,0,"2015"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",2,0,"2016"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",25,0,"2016"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",12,0,"2016"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",8,0,"2017"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",26,0,"2017"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",24,0,"2017"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",5,0,"2018"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",59,0,"2018"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",19,0,"2018"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",0,0,"2019"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",3,0,"2019"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",0,0,"2019"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",0,0,"2020"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",3,0,"2020"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",3,0,"2020"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",0,0,"2021"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",0,0,"2021"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",1,0,"2021"
"COPALLIN","AMAZONAS","BAGUA","12-17 años",14,0,"2022"
"COPALLIN","AMAZONAS","BAGUA","18-29 años",33,0,"2022"
"COPALLIN","AMAZONAS","BAGUA","30-59 años",42,0,"2022"
"EL PARCO","AMAZONAS","BAGUA","18-29 años",15,0,"2011"
"EL PARCO","AMAZONAS","BAGUA","30-59 años",1,0,"2011"
"EL PARCO","AMAZONAS","BAGUA","18-29 años",2,0,"2012"
"EL PARCO","AMAZONAS","BAGUA","12-17 años",4,0,"2013"
"EL PARCO","AMAZONAS","BAGUA","18-29 años",13,0,"2013"
"EL PARCO","AMAZONAS","BAGUA","30-59 años",4,0,"2013"
"EL PARCO","AMAZONAS","BAGUA","12-17 años",4,0,"2014"
"EL PARCO","AMAZONAS","BAGUA","18-29 años",20,0,"2014"
"EL PARCO","AMAZONAS","BAGUA","30-59 años",11,1,"2014"
"EL PARCO","AMAZONAS","BAGUA","12-17 años",2,0,"2015"
"EL PARCO","AMAZONAS","BAGUA","18-29 años",19,0,"2015"
"EL PARCO","AMAZONAS","BAGUA","30-59 años",4,0,"2015"
"EL PARCO","AMAZONAS","BAGUA","12-17 años",1,0,"2016"
"EL PARCO","AMAZONAS","BAGUA","18-29 años",20,0,"2016"
"EL PARCO","AMAZONAS","BAGUA","30-59 años",10,0,"2016"
"EL PARCO","AMAZONAS","BAGUA","12-17 años",8,0,"2017"
"EL PARCO","AMAZONAS","BAGUA","18-29 años",30,0,"2017"
"EL PARCO","AMAZONAS","BAGUA","30-59 años",6,0,"2017"
"EL PARCO","AMAZONAS","BAGUA","12-17 años",5,0,"2018"
"EL PARCO","AMAZONAS","BAGUA","18-29 años",27,0,"2018"
"EL PARCO","AMAZONAS","BAGUA","30-59 años",19,0,"2018"
"EL PARCO","AMAZONAS","BAGUA","18-29 años",2,0,"2019"
"EL PARCO","AMAZONAS","BAGUA","12-17 años",1,0,"2022"
"EL PARCO","AMAZONAS","BAGUA","18-29 años",2,0,"2022"
"EL PARCO","AMAZONAS","BAGUA","30-59 años",2,0,"2022"
"IMAZA","AMAZONAS","BAGUA","12-17 años",15,0,"2011"
"IMAZA","AMAZONAS","BAGUA","18-29 años",35,0,"2011"
"IMAZA","AMAZONAS","BAGUA","30-59 años",22,0,"2011"
"IMAZA","AMAZONAS","BAGUA","12-17 años",40,0,"2012"
"IMAZA","AMAZONAS","BAGUA","18-29 años",177,1,"2012"
"IMAZA","AMAZONAS","BAGUA","30-59 años",81,0,"2012"
"IMAZA","AMAZONAS","BAGUA","12-17 años",146,17,"2013"
"IMAZA","AMAZONAS","BAGUA","18-29 años",601,42,"2013"
"IMAZA","AMAZONAS","BAGUA","30-59 años",237,13,"2013"
"IMAZA","AMAZONAS","BAGUA","12-17 años",198,9,"2014"
"IMAZA","AMAZONAS","BAGUA","18-29 años",754,24,"2014"
"IMAZA","AMAZONAS","BAGUA","30-59 años",303,13,"2014"
"IMAZA","AMAZONAS","BAGUA","12-17 años",254,2,"2015"
"IMAZA","AMAZONAS","BAGUA","18-29 años",830,38,"2015"
"IMAZA","AMAZONAS","BAGUA","30-59 años",364,16,"2015"
"IMAZA","AMAZONAS","BAGUA","12-17 años",306,4,"2016"
"IMAZA","AMAZONAS","BAGUA","18-29 años",1157,33,"2016"
"IMAZA","AMAZONAS","BAGUA","30-59 años",492,21,"2016"
"IMAZA","AMAZONAS","BAGUA","<12 años",1,0,"2016"
"IMAZA","AMAZONAS","BAGUA","12-17 años",293,5,"2017"
"IMAZA","AMAZONAS","BAGUA","18-29 años",1110,32,"2017"
"IMAZA","AMAZONAS","BAGUA","30-59 años",523,11,"2017"
"IMAZA","AMAZONAS","BAGUA","12-17 años",335,5,"2018"
"IMAZA","AMAZONAS","BAGUA","18-29 años",1128,28,"2018"
"IMAZA","AMAZONAS","BAGUA","30-59 años",549,19,"2018"
"IMAZA","AMAZONAS","BAGUA","<12 años",1,0,"2018"
"IMAZA","AMAZONAS","BAGUA","12-17 años",8,0,"2019"
"IMAZA","AMAZONAS","BAGUA","18-29 años",47,0,"2019"
"IMAZA","AMAZONAS","BAGUA","30-59 años",27,1,"2019"
"IMAZA","AMAZONAS","BAGUA","12-17 años",69,1,"2020"
"IMAZA","AMAZONAS","BAGUA","18-29 años",198,0,"2020"
"IMAZA","AMAZONAS","BAGUA","30-59 años",81,0,"2020"
"IMAZA","AMAZONAS","BAGUA","12-17 años",118,1,"2021"
"IMAZA","AMAZONAS","BAGUA","18-29 años",366,1,"2021"
"IMAZA","AMAZONAS","BAGUA","30-59 años",146,2,"2021"
"IMAZA","AMAZONAS","BAGUA","12-17 años",253,1,"2022"
"IMAZA","AMAZONAS","BAGUA","18-29 años",710,2,"2022"
"IMAZA","AMAZONAS","BAGUA","30-59 años",295,1,"2022"
"IMAZA","AMAZONAS","BAGUA","<12 años",1,0,"2022"
"LA PECA","AMAZONAS","BAGUA","12-17 años",2,0,"2011"
"LA PECA","AMAZONAS","BAGUA","18-29 años",4,0,"2011"
"LA PECA","AMAZONAS","BAGUA","30-59 años",10,0,"2011"
"LA PECA","AMAZONAS","BAGUA","12-17 años",11,0,"2012"
"LA PECA","AMAZONAS","BAGUA","18-29 años",43,1,"2012"
"LA PECA","AMAZONAS","BAGUA","30-59 años",18,0,"2012"
"LA PECA","AMAZONAS","BAGUA","12-17 años",17,1,"2013"
"LA PECA","AMAZONAS","BAGUA","18-29 años",49,3,"2013"
"LA PECA","AMAZONAS","BAGUA","30-59 años",26,0,"2013"
"LA PECA","AMAZONAS","BAGUA","12-17 años",19,0,"2014"
