"distrito","departamento","provincia","year","test_number_12-17 años","test_number_18-29 años","test_number_30-59 años","test_number_<12 años","tamizaje_reactivo_12-17 años","tamizaje_reactivo_18-29 años","tamizaje_reactivo_30-59 años","tamizaje_reactivo_<12 años"
"ARAMANGO","AMAZONAS","BAGUA","2011",4,12,4,NA,0,0,0,NA
"ARAMANGO","AMAZONAS","BAGUA","2012",10,50,15,NA,0,0,0,NA
"ARAMANGO","AMAZONAS","BAGUA","2013",50,134,52,NA,0,2,1,NA
"ARAMANGO","AMAZONAS","BAGUA","2014",42,121,59,NA,0,2,2,NA
"ARAMANGO","AMAZONAS","BAGUA","2015",63,188,97,NA,1,2,0,NA
"ARAMANGO","AMAZONAS","BAGUA","2016",57,181,111,NA,0,3,1,NA
"ARAMANGO","AMAZONAS","BAGUA","2017",34,180,117,NA,0,0,0,NA
"ARAMANGO","AMAZONAS","BAGUA","2018",59,201,119,NA,0,0,0,NA
"ARAMANGO","AMAZONAS","BAGUA","2019",NA,5,4,NA,NA,0,0,NA
"ARAMANGO","AMAZONAS","BAGUA","2020",3,13,9,NA,0,0,0,NA
"ARAMANGO","AMAZONAS","BAGUA","2021",1,8,3,NA,0,0,0,NA
"ARAMANGO","AMAZONAS","BAGUA","2022",18,87,38,NA,0,1,0,NA
"BAGUA","AMAZONAS","BAGUA","2011",24,73,28,NA,0,0,1,NA
"BAGUA","AMAZONAS","BAGUA","2012",4,3,2,NA,0,0,0,NA
"BAGUA","AMAZONAS","BAGUA","2013",47,251,109,1,1,5,0,0
"BAGUA","AMAZONAS","BAGUA","2014",62,314,121,NA,2,3,0,NA
"BAGUA","AMAZONAS","BAGUA","2015",70,284,114,1,1,2,3,0
"BAGUA","AMAZONAS","BAGUA","2016",68,332,182,1,0,2,0,0
"BAGUA","AMAZONAS","BAGUA","2017",57,389,136,NA,0,6,0,NA
"BAGUA","AMAZONAS","BAGUA","2018",75,406,198,NA,0,2,1,NA
"BAGUA","AMAZONAS","BAGUA","2019",0,5,6,NA,0,0,0,NA
"BAGUA","AMAZONAS","BAGUA","2020",0,0,0,NA,0,0,0,NA
"BAGUA","AMAZONAS","BAGUA","2021",0,1,0,NA,0,0,0,NA
"BAGUA","AMAZONAS","BAGUA","2022",20,151,74,NA,0,1,1,NA
"COPALLIN","AMAZONAS","BAGUA","2011",0,1,0,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2012",2,6,2,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2013",2,12,19,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2014",4,7,1,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2015",3,29,10,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2016",2,25,12,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2017",8,26,24,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2018",5,59,19,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2019",0,3,0,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2020",0,3,3,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2021",0,0,1,NA,0,0,0,NA
"COPALLIN","AMAZONAS","BAGUA","2022",14,33,42,NA,0,0,0,NA
"EL PARCO","AMAZONAS","BAGUA","2011",NA,15,1,NA,NA,0,0,NA
"EL PARCO","AMAZONAS","BAGUA","2012",NA,2,NA,NA,NA,0,NA,NA
"EL PARCO","AMAZONAS","BAGUA","2013",4,13,4,NA,0,0,0,NA
"EL PARCO","AMAZONAS","BAGUA","2014",4,20,11,NA,0,0,1,NA
"EL PARCO","AMAZONAS","BAGUA","2015",2,19,4,NA,0,0,0,NA
"EL PARCO","AMAZONAS","BAGUA","2016",1,20,10,NA,0,0,0,NA
"EL PARCO","AMAZONAS","BAGUA","2017",8,30,6,NA,0,0,0,NA
"EL PARCO","AMAZONAS","BAGUA","2018",5,27,19,NA,0,0,0,NA
"EL PARCO","AMAZONAS","BAGUA","2019",NA,2,NA,NA,NA,0,NA,NA
"EL PARCO","AMAZONAS","BAGUA","2022",1,2,2,NA,0,0,0,NA
"IMAZA","AMAZONAS","BAGUA","2011",15,35,22,NA,0,0,0,NA
"IMAZA","AMAZONAS","BAGUA","2012",40,177,81,NA,0,1,0,NA
"IMAZA","AMAZONAS","BAGUA","2013",146,601,237,NA,17,42,13,NA
"IMAZA","AMAZONAS","BAGUA","2014",198,754,303,NA,9,24,13,NA
"IMAZA","AMAZONAS","BAGUA","2015",254,830,364,NA,2,38,16,NA
"IMAZA","AMAZONAS","BAGUA","2016",306,1157,492,1,4,33,21,0
"IMAZA","AMAZONAS","BAGUA","2017",293,1110,523,NA,5,32,11,NA
"IMAZA","AMAZONAS","BAGUA","2018",335,1128,549,1,5,28,19,0
"IMAZA","AMAZONAS","BAGUA","2019",8,47,27,NA,0,0,1,NA
"IMAZA","AMAZONAS","BAGUA","2020",69,198,81,NA,1,0,0,NA
"IMAZA","AMAZONAS","BAGUA","2021",118,366,146,NA,1,1,2,NA
"IMAZA","AMAZONAS","BAGUA","2022",253,710,295,1,1,2,1,0
"LA PECA","AMAZONAS","BAGUA","2011",2,4,10,NA,0,0,0,NA
"LA PECA","AMAZONAS","BAGUA","2012",11,43,18,NA,0,1,0,NA
"LA PECA","AMAZONAS","BAGUA","2013",17,49,26,NA,1,3,0,NA
"LA PECA","AMAZONAS","BAGUA","2014",19,47,30,NA,0,2,0,NA
"LA PECA","AMAZONAS","BAGUA","2015",12,38,27,NA,0,1,0,NA
"LA PECA","AMAZONAS","BAGUA","2016",13,52,27,NA,0,0,0,NA
"LA PECA","AMAZONAS","BAGUA","2017",14,64,48,NA,0,0,0,NA
"LA PECA","AMAZONAS","BAGUA","2018",13,57,55,NA,0,0,0,NA
"LA PECA","AMAZONAS","BAGUA","2021",NA,1,NA,NA,NA,0,NA,NA
"CHISQUILLA","AMAZONAS","BONGARA","2012",NA,1,1,NA,NA,0,0,NA
"CHISQUILLA","AMAZONAS","BONGARA","2015",1,NA,NA,NA,0,NA,NA,NA
