departamento,provincia,distrito,D,E,F,G,H,I,J,K,L,total
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,,,,,,1,,,1
AMAZONAS,BAGUA,ARAMANGO,1,,,,,,,,,1
AMAZONAS,BAGUA,BAGUA,,,,,,3,,,,3
AMAZONAS,BAGUA,IMAZA,1,1,2,,1,,,,,5
AMAZONAS,BAGUA,LA PECA,1,,,,,,,,,1
AMAZONAS,BONGARA,SHIPASBAMBA,1,,,,,,,,,1
AMAZONAS,CONDORCANQUI,NIEVA,3,,1,,2,,,,1,7
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,,,,,,,,1,,1
ANCASH,CASMA,CASMA,,,,,,,,,1,1
ANCASH,SANTA,CHIMBOTE,,,,,1,,1,,,2
ANCASH,SANTA,NEPEÑA,,,,,,,,,1,1
ANCASH,SANTA,NUEVO CHIMBOTE,,,1,1,,,,,5,7
ANCASH,HUARAZ,HUARAZ,,,,,,,1,,,1
ANCASH,HUARAZ,INDEPENDENCIA,,,1,,,,,,,1
ANCASH,HUAYLAS,CARAZ,,,,,,1,,1,,2
ANCASH,BOLOGNESI,CHIQUIAN,,1,,,,,,,,1
ANCASH,CARHUAZ,ANTA,,,1,,,,,,,1
ANCASH,CARHUAZ,CARHUAZ,,,,,,,,,1,1
ANCASH,SIHUAS,SIHUAS,,,,1,,,,,,1
APURIMAC,ABANCAY,ABANCAY,,,,1,,1,,,2,4
APURIMAC,ABANCAY,CURAHUASI,1,,,,,,,,,1
APURIMAC,ABANCAY,LAMBRAMA,,,,,1,,,,,1
APURIMAC,COTABAMBAS,COYLLURQUI,2,,,,,,,,,2
APURIMAC,AYMARAES,CHALHUANCA,,,1,,,,,,,1
APURIMAC,AYMARAES,COTARUSE,,,,,,,,,4,4
APURIMAC,GRAU,CHUQUIBAMBILLA,1,,,,1,,,,,2
APURIMAC,GRAU,MARISCAL GAMARRA,,,,,,,,,1,1
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,2,,,3,,1,,1,,7
APURIMAC,ANDAHUAYLAS,PACUCHA,,,,,1,,,,,1
APURIMAC,ANDAHUAYLAS,PAMPACHIRI,,1,,,1,,,,,2
APURIMAC,ANDAHUAYLAS,SAN JERONIMO,,,,1,,,1,,,2
APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,,,1,,,,,,,1
APURIMAC,CHINCHEROS,ANCO HUALLO,,,,,,,,1,,1
APURIMAC,CHINCHEROS,HUACCANA,,,,1,,,,,,1
AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,1,,,,,2,1,2,1,7
AREQUIPA,AREQUIPA,AREQUIPA,,,,,,,,,1,1
AREQUIPA,AREQUIPA,CAYMA,,,,,,2,1,,2,5
AREQUIPA,AREQUIPA,CERRO COLORADO,,,5,2,1,1,2,5,3,19
AREQUIPA,AREQUIPA,CHARACATO,,,,,,,,,1,1
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,,,,2,,,,,1,3
AREQUIPA,AREQUIPA,LA JOYA,,,,1,1,2,,1,3,8
AREQUIPA,AREQUIPA,MARIANO MELGAR,1,,1,1,1,,,3,5,12
AREQUIPA,AREQUIPA,MIRAFLORES,,,,,,1,,,1,2
AREQUIPA,AREQUIPA,PAUCARPATA,,,,1,2,4,2,1,5,15
AREQUIPA,AREQUIPA,SACHACA,,,,,1,,1,1,1,4
AREQUIPA,AREQUIPA,SOCABAYA,1,,,,1,,,1,,3
AREQUIPA,AREQUIPA,TIABAYA,,,,,1,,2,,,3
AREQUIPA,AREQUIPA,UCHUMAYO,,,,,,,1,1,,2
AREQUIPA,AREQUIPA,YURA,,,1,2,1,,,,1,5
AREQUIPA,CARAVELI,CHALA,,,,,,,,,1,1
AREQUIPA,CAMANA,CAMANA,,,,,1,,,,2,3
AREQUIPA,CAMANA,MARISCAL CACERES,,,,,,,,2,,2
AREQUIPA,ISLAY,COCACHACRA,,,,,1,,,,,1
AREQUIPA,ISLAY,MOLLENDO,1,,,,,,,,,1
AREQUIPA,CAYLLOMA,MAJES,,,,8,1,1,,1,5,16
AREQUIPA,CASTILLA,URACA,,,,,1,,,,,1
AYACUCHO,HUAMANGA,ACOS VINCHOS,,,,,1,,,,,1
AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,,,,,,,,,1,1
AYACUCHO,HUAMANGA,AYACUCHO,,1,3,,2,2,3,1,1,13
AYACUCHO,HUAMANGA,CARMEN ALTO,,,,,,,1,2,2,5
AYACUCHO,HUAMANGA,JESUS NAZARENO,,,1,,,,,1,1,3
AYACUCHO,HUAMANGA,OCROS,,,,,,,,1,,1
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,,,1,,,1,,3,2,7
AYACUCHO,HUAMANGA,SOCOS,1,,,,,,,,,1
AYACUCHO,HUAMANGA,TAMBILLO,,,,,,,,1,,1
AYACUCHO,HUAMANGA,VINCHOS,,,1,,,,,,,1
AYACUCHO,HUANTA,AYAHUANCO,,,,,,,,,1,1
AYACUCHO,HUANTA,HUANTA,,,,,,2,,,2,4
AYACUCHO,HUANTA,SANTILLANA,1,,,,,,,,,1
AYACUCHO,HUANTA,UCHURACCAY,,,,1,,,,,,1
AYACUCHO,LUCANAS,CHAVIÑA,,,,1,,,,,,1
AYACUCHO,LA MAR,AYNA,,1,1,1,,,,1,,4
AYACUCHO,LA MAR,SAMUGARI,,,,,1,,1,,,2
AYACUCHO,LA MAR,SAN MIGUEL,,,,,,,,,1,1
AYACUCHO,LA MAR,SANTA ROSA,1,,1,1,2,1,,,1,7
AYACUCHO,CANGALLO,CANGALLO,,1,,,,,,,,1
AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,,,,,1,,,,,1
CAJAMARCA,JAEN,JAEN,1,,1,,,,,2,,4
CAJAMARCA,JAEN,PUCARA,,,,,,,,1,,1
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,,,,,,,,,1,1
CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,1,,,,,,,,,1
CAJAMARCA,CAJAMARCA,CAJAMARCA,,,,1,,,,,,1
CAJAMARCA,CUTERVO,CUTERVO,,,,,,,,,1,1
CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,,,,,1,,,,,1
CAJAMARCA,CONTUMAZA,CONTUMAZA,,,,1,,,,,,1
CAJAMARCA,CHOTA,CHOTA,1,,1,,,,,,,2
CAJAMARCA,CHOTA,CONCHAN,,,1,,,,,,,1
CAJAMARCA,CHOTA,LLAMA,,,,,,1,,,,1
CAJAMARCA,CHOTA,TACABAMBA,1,,,,,,,,,1
CAJAMARCA,HUALGAYOC,BAMBAMARCA,,,,1,,,,,,1
CALLAO,CALLAO,BELLAVISTA,,,1,1,2,,,,,4
CALLAO,CALLAO,CALLAO,5,7,5,6,13,13,7,7,9,72
CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,,,1,,1,,1,,2,5
CALLAO,CALLAO,LA PERLA,,,1,,,,,1,1,3
CALLAO,CALLAO,MI PERU,,,,,1,,,,,1
