"","DEPARTAMENTO","PROVINCIA","DISTRITO","2014","2015","2016","2017","2018","2019","2020","2021","2022","total"
"1","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"2","AMAZONAS","BAGUA","ARAMANGO",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"3","AMAZONAS","BAGUA","BAGUA",NA,NA,NA,NA,NA,3,NA,NA,NA,3
"4","AMAZONAS","BAGUA","IMAZA",1,1,2,NA,1,NA,NA,NA,NA,5
"5","AMAZONAS","BAGUA","LA PECA",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"6","AMAZONAS","BONGARA","SHIPASBAMBA",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"7","AMAZONAS","CONDORCANQUI","NIEVA",3,NA,1,NA,2,NA,NA,NA,1,7
"8","AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"9","ANCASH","CASMA","CASMA",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"10","ANCASH","SANTA","CHIMBOTE",NA,NA,NA,NA,1,NA,1,NA,NA,2
"11","ANCASH","SANTA","NEPEÑA",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"12","ANCASH","SANTA","NUEVO CHIMBOTE",NA,NA,1,1,NA,NA,NA,NA,5,7
"13","ANCASH","HUARAZ","HUARAZ",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"14","ANCASH","HUARAZ","INDEPENDENCIA",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"15","ANCASH","HUAYLAS","CARAZ",NA,NA,NA,NA,NA,1,NA,1,NA,2
"16","ANCASH","BOLOGNESI","CHIQUIAN",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"17","ANCASH","CARHUAZ","ANTA",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"18","ANCASH","CARHUAZ","CARHUAZ",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"19","ANCASH","SIHUAS","SIHUAS",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"20","APURIMAC","ABANCAY","ABANCAY",NA,NA,NA,1,NA,1,NA,NA,2,4
"21","APURIMAC","ABANCAY","CURAHUASI",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"22","APURIMAC","ABANCAY","LAMBRAMA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"23","APURIMAC","COTABAMBAS","COYLLURQUI",2,NA,NA,NA,NA,NA,NA,NA,NA,2
"24","APURIMAC","AYMARAES","CHALHUANCA",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"25","APURIMAC","AYMARAES","COTARUSE",NA,NA,NA,NA,NA,NA,NA,NA,4,4
"26","APURIMAC","GRAU","CHUQUIBAMBILLA",1,NA,NA,NA,1,NA,NA,NA,NA,2
"27","APURIMAC","GRAU","MARISCAL GAMARRA",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"28","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS",2,NA,NA,3,NA,1,NA,1,NA,7
"29","APURIMAC","ANDAHUAYLAS","PACUCHA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"30","APURIMAC","ANDAHUAYLAS","PAMPACHIRI",NA,1,NA,NA,1,NA,NA,NA,NA,2
