DEPARTAMENTO,PROVINCIA,DISTRITO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,TOTAL,,,,,,,,,
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,,,1,,,,,,,1,,,2,,,,,,,,,
AMAZONAS,BAGUA,ARAMANGO,,,,,1,,,,,,,,,1,,,,,,,,,
AMAZONAS,BAGUA,BAGUA,,,,,,,,,,3,,,,3,,,,,,,,,
AMAZONAS,BAGUA,IMAZA,,,1,5,1,1,3,,,,,,,11,,,,,,,,,
AMAZONAS,BAGUA,LA PECA,,,,,1,,,,,,,,,1,,,,,,,,,
AMAZONAS,BONGARA,FLORIDA,1,,,,,,,,,,,,,1,,,,,,,,,
AMAZONAS,BONGARA,JAZAN,,,2,,,,,,,,,,,2,,,,,,,,,
AMAZONAS,BONGARA,SHIPASBAMBA,,,,,1,,,,,,,,,1,,,,,,,,,
AMAZONAS,CONDORCANQUI,EL CENEPA,,1,1,,,,,,,,,,,2,,,,,,,,,
AMAZONAS,CONDORCANQUI,NIEVA,,,1,,3,,1,,2,,,,1,8,,,,,,,,,
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,,,,,,,,,,,,1,,1,,,,,,,,,
ANCASH,CASMA,BUENA VISTA ALTA,,1,,,,,,,,,,,,1,,,,,,,,,
ANCASH,CASMA,CASMA,1,,,,,,,,,,,,1,2,,,,,,,,,
ANCASH,SANTA,CHIMBOTE,,1,,,,,,,1,,1,,,3,,,,,,,,,
ANCASH,SANTA,NEPEÑA,,,,,,,,,,,,,1,1,,,,,,,,,
ANCASH,SANTA,NUEVO CHIMBOTE,,,,1,,,1,1,,,,,3,6,,,,,,,,,
ANCASH,SANTA,YUNGAY,,,1,,,,,,,,,,,1,,,,,,,,,
ANCASH,HUARAZ,HUARAZ,,,,1,,,,,,,1,,,2,,,,,,,,,
ANCASH,HUARAZ,INDEPENDENCIA,,,1,,,,1,,,,,,,2,,,,,,,,,
ANCASH,RECUAY,PARARIN,,1,,,,,,,,,,,,1,,,,,,,,,
ANCASH,RECUAY,RECUAY,,,1,,,,,,,,,,,1,,,,,,,,,
ANCASH,HUAYLAS,CARAZ,,,,,,,,,,1,,1,,2,,,,,,,,,
ANCASH,BOLOGNESI,CHIQUIAN,,,,,,1,,,,,,,,1,,,,,,,,,
ANCASH,CARHUAZ,ANTA,,,,,,,1,,,,,,,1,,,,,,,,,
ANCASH,CARHUAZ,CARHUAZ,,,,,,,,,,,,,1,1,,,,,,,,,
ANCASH,ASUNCION,CHACAS,1,,,,,,,,,,,,,1,,,,,,,,,
ANCASH,SIHUAS,SIHUAS,,,,,,,,1,,,,,,1,,,,,,,,,
ANCASH,MARISCAL LUZURIAGA,CASCA,,,,,,,,,,,,1,,1,,,,,,,,,
APURIMAC,ABANCAY,ABANCAY,,,1,,,,,1,,1,,,2,5,,,,,,,,,
APURIMAC,ABANCAY,CURAHUASI,,,,,1,,,,,,,,,1,,,,,,,,,
APURIMAC,ABANCAY,LAMBRAMA,,,,,,,,,1,,,,,1,,,,,,,,,
APURIMAC,COTABAMBAS,COYLLURQUI,,,,,2,,,,,,,,,2,,,,,,,,,
APURIMAC,AYMARAES,CHALHUANCA,,,,,,,1,,,,,,,1,,,,,,,,,
APURIMAC,AYMARAES,CHAPIMARCA,1,,,,,,,,,,,,,1,,,,,,,,,
APURIMAC,AYMARAES,COTARUSE,,,,,,,,,,,,,4,4,,,,,,,,,
APURIMAC,GRAU,CHUQUIBAMBILLA,,,,,1,,,,1,,,,,2,,,,,,,,,
APURIMAC,GRAU,MARISCAL GAMARRA,,,,,,,,,,,,,1,1,,,,,,,,,
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,,,1,1,2,,,3,,1,,1,,9,,,,,,,,,
APURIMAC,ANDAHUAYLAS,PACUCHA,,,,,,,,,1,,,,,1,,,,,,,,,
APURIMAC,ANDAHUAYLAS,PAMPACHIRI,,,,,,1,,,1,,,,,2,,,,,,,,,
APURIMAC,ANDAHUAYLAS,SAN JERONIMO,,,,,,,,1,,,1,,,2,,,,,,,,,
APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,,,,,,,1,,,,,,,1,,,,,,,,,
APURIMAC,ANDAHUAYLAS,TALAVERA,,,1,,,,,,,,,,,1,,,,,,,,,
APURIMAC,CHINCHEROS,ANCO-HUALLO,,,,,,,,,,,,1,,1,,,,,,,,,
APURIMAC,CHINCHEROS,HUACCANA,,,,,,,,1,,,,,,1,,,,,,,,,
