departamento,provincia,distrito,2015,2016,2017,2018,2019,2020,2021,2022,total
AMAZONAS,LUYA,CAMPORREDONDO,NA,NA,NA,1,NA,NA,NA,NA,1
AMAZONAS,LUYA,LONGUITA,NA,NA,NA,NA,NA,1,NA,NA,1
AMAZONAS,LUYA,OCALLI,NA,NA,NA,1,NA,NA,NA,NA,1
AMAZONAS,LUYA,OCUMAL,NA,NA,NA,NA,1,NA,NA,NA,1
AMAZONAS,LUYA,SANTO TOMAS,NA,NA,NA,1,NA,1,NA,NA,2
AMAZONAS,CHACHAPOYAS,BALSAS,NA,NA,NA,NA,NA,NA,NA,1,1
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,NA,NA,NA,NA,NA,1,NA,NA,1
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,NA,NA,NA,NA,1,NA,NA,NA,1
AMAZONAS,BAGUA,ARAMANGO,NA,2,NA,NA,NA,NA,NA,NA,2
AMAZONAS,BAGUA,BAGUA,NA,5,3,1,5,3,3,1,21
AMAZONAS,BAGUA,IMAZA,NA,24,11,7,7,6,11,5,71
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,NA,5,3,3,1,NA,NA,NA,12
AMAZONAS,UTCUBAMBA,CAJARURO,NA,1,1,1,NA,1,1,1,6
AMAZONAS,UTCUBAMBA,CUMBA,NA,NA,2,NA,1,NA,NA,NA,3
AMAZONAS,UTCUBAMBA,LONYA GRANDE,NA,2,NA,NA,NA,NA,NA,NA,2
AMAZONAS,UTCUBAMBA,YAMON,NA,NA,NA,NA,1,NA,NA,NA,1
AMAZONAS,BONGARA,JUMBILLA,NA,NA,NA,NA,1,NA,NA,NA,1
AMAZONAS,BONGARA,YAMBRASBAMBA,NA,NA,NA,NA,NA,1,NA,NA,1
AMAZONAS,CONDORCANQUI,EL CENEPA,NA,NA,NA,NA,1,NA,NA,NA,1
AMAZONAS,CONDORCANQUI,NIEVA,NA,NA,NA,1,NA,1,NA,1,3
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,NA,NA,1,NA,NA,NA,NA,1,2
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,NA,NA,NA,1,NA,1,NA,NA,2
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,NA,NA,NA,NA,NA,NA,1,NA,1
ANCASH,CASMA,BUENA VISTA ALTA,NA,NA,NA,1,NA,NA,NA,NA,1
ANCASH,CASMA,CASMA,NA,NA,NA,NA,NA,NA,NA,3,3
ANCASH,CASMA,YAUTAN,NA,NA,NA,NA,1,NA,NA,NA,1
ANCASH,SANTA,CHIMBOTE,NA,NA,NA,7,2,NA,1,5,15
ANCASH,SANTA,COISHCO,NA,NA,NA,NA,1,NA,NA,NA,1
ANCASH,SANTA,MORO,NA,1,NA,NA,1,NA,NA,NA,2
ANCASH,SANTA,NEPEÑA,NA,NA,NA,1,1,NA,NA,NA,2
ANCASH,SANTA,NUEVO CHIMBOTE,NA,NA,10,5,4,NA,3,20,42
ANCASH,YUNGAY,QUILLO,NA,NA,NA,NA,NA,NA,NA,1,1
ANCASH,YUNGAY,YUNGAY,NA,NA,NA,NA,NA,NA,4,3,7
ANCASH,HUARAZ,HUARAZ,NA,NA,NA,NA,1,2,1,1,5
ANCASH,HUARAZ,INDEPENDENCIA,NA,NA,NA,NA,2,1,1,2,6
ANCASH,HUARAZ,PARIACOTO,NA,NA,NA,1,NA,NA,NA,NA,1
ANCASH,HUARAZ,TARICA,NA,NA,NA,NA,1,NA,NA,NA,1
ANCASH,RECUAY,CATAC,NA,NA,NA,1,NA,NA,NA,NA,1
ANCASH,HUAYLAS,CARAZ,NA,NA,NA,2,2,NA,8,3,15
ANCASH,HUAYLAS,HUAYLAS,NA,NA,NA,NA,NA,NA,NA,1,1
ANCASH,BOLOGNESI,CANIS,NA,NA,NA,1,NA,NA,NA,NA,1
ANCASH,BOLOGNESI,CHIQUIAN,NA,NA,1,NA,1,NA,NA,NA,2
ANCASH,BOLOGNESI,HUALLANCA,NA,NA,NA,1,NA,NA,1,NA,2
ANCASH,CARHUAZ,CARHUAZ,NA,NA,NA,NA,NA,NA,NA,1,1
ANCASH,CARHUAZ,MARCARA,NA,NA,NA,NA,1,NA,NA,NA,1
ANCASH,POMABAMBA,POMABAMBA,NA,NA,NA,NA,1,NA,1,1,3
ANCASH,POMABAMBA,QUINUABAMBA,NA,1,NA,NA,NA,NA,NA,NA,1
ANCASH,SIHUAS,HUAYLLABAMBA,NA,1,NA,NA,NA,NA,NA,NA,1
ANCASH,SIHUAS,SIHUAS,NA,1,1,NA,NA,NA,NA,1,3
ANCASH,MARISCAL LUZURIAGA,CASCA,NA,NA,NA,NA,NA,NA,1,NA,1
ANCASH,AIJA,AIJA,NA,NA,NA,NA,NA,NA,1,NA,1
APURIMAC,ABANCAY,ABANCAY,NA,4,NA,1,8,NA,NA,5,18
APURIMAC,ABANCAY,CIRCA,NA,NA,NA,NA,1,NA,NA,NA,1
APURIMAC,ABANCAY,CURAHUASI,NA,1,NA,NA,NA,NA,NA,NA,1
APURIMAC,ABANCAY,LAMBRAMA,NA,NA,1,1,NA,NA,NA,NA,2
APURIMAC,ABANCAY,TAMBURCO,NA,1,NA,NA,NA,NA,NA,NA,1
