departamento,provincia,distrito,D,E,F,G,H,I,J,K,total
AMAZONAS,LUYA,CAMPORREDONDO,,,,1,,,,,1
AMAZONAS,LUYA,LONGUITA,,,,,,1,,,1
AMAZONAS,LUYA,OCALLI,,,,1,,,,,1
AMAZONAS,LUYA,OCUMAL,,,,,1,,,,1
AMAZONAS,LUYA,SANTO TOMAS,,,,1,,1,,,2
AMAZONAS,CHACHAPOYAS,BALSAS,,,,,,,,1,1
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,,,,,1,,,1
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,,,,,1,,,,1
AMAZONAS,BAGUA,ARAMANGO,,2,,,,,,,2
AMAZONAS,BAGUA,BAGUA,,5,3,1,5,3,3,1,21
AMAZONAS,BAGUA,IMAZA,,24,11,7,7,6,11,5,71
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,,5,3,3,1,,,,12
AMAZONAS,UTCUBAMBA,CAJARURO,,1,1,1,,1,1,1,6
AMAZONAS,UTCUBAMBA,CUMBA,,,2,,1,,,,3
AMAZONAS,UTCUBAMBA,LONYA GRANDE,,2,,,,,,,2
AMAZONAS,UTCUBAMBA,YAMON,,,,,1,,,,1
AMAZONAS,BONGARA,JUMBILLA,,,,,1,,,,1
AMAZONAS,BONGARA,YAMBRASBAMBA,,,,,,1,,,1
AMAZONAS,CONDORCANQUI,EL CENEPA,,,,,1,,,,1
AMAZONAS,CONDORCANQUI,NIEVA,,,,1,,1,,1,3
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,,,1,,,,,1,2
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,,,,1,,1,,,2
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,,,,,,,1,,1
ANCASH,CASMA,BUENA VISTA ALTA,,,,1,,,,,1
ANCASH,CASMA,CASMA,,,,,,,,3,3
ANCASH,CASMA,YAUTAN,,,,,1,,,,1
ANCASH,SANTA,CHIMBOTE,,,,7,2,,1,5,15
ANCASH,SANTA,COISHCO,,,,,1,,,,1
ANCASH,SANTA,MORO,,1,,,1,,,,2
ANCASH,SANTA,NEPEÑA,,,,1,1,,,,2
ANCASH,SANTA,NUEVO CHIMBOTE,,,10,5,4,,3,20,42
ANCASH,YUNGAY,QUILLO,,,,,,,,1,1
ANCASH,YUNGAY,YUNGAY,,,,,,,4,3,7
ANCASH,HUARAZ,HUARAZ,,,,,1,2,1,1,5
ANCASH,HUARAZ,INDEPENDENCIA,,,,,2,1,1,2,6
ANCASH,HUARAZ,PARIACOTO,,,,1,,,,,1
ANCASH,HUARAZ,TARICA,,,,,1,,,,1
ANCASH,RECUAY,CATAC,,,,1,,,,,1
ANCASH,HUAYLAS,CARAZ,,,,2,2,,8,3,15
ANCASH,HUAYLAS,HUAYLAS,,,,,,,,1,1
ANCASH,BOLOGNESI,CANIS,,,,1,,,,,1
ANCASH,BOLOGNESI,CHIQUIAN,,,1,,1,,,,2
ANCASH,BOLOGNESI,HUALLANCA,,,,1,,,1,,2
ANCASH,CARHUAZ,CARHUAZ,,,,,,,,1,1
ANCASH,CARHUAZ,MARCARA,,,,,1,,,,1
ANCASH,POMABAMBA,POMABAMBA,,,,,1,,1,1,3
ANCASH,POMABAMBA,QUINUABAMBA,,1,,,,,,,1
ANCASH,SIHUAS,HUAYLLABAMBA,,1,,,,,,,1
ANCASH,SIHUAS,SIHUAS,,1,1,,,,,1,3
ANCASH,MARISCAL LUZURIAGA,CASCA,,,,,,,1,,1
ANCASH,AIJA,AIJA,,,,,,,1,,1
APURIMAC,ABANCAY,ABANCAY,,4,,1,8,,,5,18
APURIMAC,ABANCAY,CIRCA,,,,,1,,,,1
APURIMAC,ABANCAY,CURAHUASI,,1,,,,,,,1
APURIMAC,ABANCAY,LAMBRAMA,,,1,1,,,,,2
APURIMAC,ABANCAY,TAMBURCO,,1,,,,,,,1
APURIMAC,COTABAMBAS,COYLLURQUI,,,,,1,,2,,3
APURIMAC,COTABAMBAS,TAMBOBAMBA,,,,1,,,1,,2
APURIMAC,AYMARAES,CHALHUANCA,1,1,,,,,,,2
APURIMAC,AYMARAES,COTARUSE,,1,,,,,1,3,5
APURIMAC,GRAU,CHUQUIBAMBILLA,,,,1,,,,,1
APURIMAC,GRAU,CURPAHUASI,,,1,,,,,,1
APURIMAC,GRAU,MARISCAL GAMARRA,,,,,,,,1,1
APURIMAC,GRAU,VILCABAMBA,,,,,,1,,,1
APURIMAC,ANTABAMBA,ANTABAMBA,,,,,,,1,,1
APURIMAC,ANTABAMBA,OROPESA,,,1,,1,,,,2
APURIMAC,ANTABAMBA,SABAINO,,1,,,,,,,1
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,,,1,,2,,3,2,8
